CAD CDW ID,CAD Event Number,General Offense Number,Event Clearance Code,Event Clearance Description,Event Clearance SubGroup,Event Clearance Group,Event Clearance Date,Hundred Block Location,District/Sector,Zone/Beat,Census Tract,Longitude,Latitude,Incident Location,Initial Type Description,Initial Type Subgroup,Initial Type Group,At Scene Time
1689718,16000075639,201675639,139,GANG GRAFFITI,PROPERTY DAMAGE,PROPERTY DAMAGE,03/03/2016 06:37:05 AM,1 AV N / JOHN ST,Q,Q3,7100.2017,-122.355446,47.619766,"(47.619766, -122.355446)",PROPERTY - DAMAGE,PROPERTY DAMAGE,PROPERTY DAMAGE,03/02/2016 10:21:16 PM
1685699,16000075659,201675659,040,"ASSAULTS, OTHER",ASSAULTS,ASSAULTS,03/03/2016 03:38:21 AM,85XX BLOCK OF AURORA AV N,N,N3,1800.2010,-122.34453,47.690926,"(47.690926, -122.34453)",ASLT - IP/JO - WITH OR W/O WPNS (NO SHOOTINGS),ASSAULTS,ASSAULTS,03/02/2016 10:53:03 PM
1685700,16000075375,201675375,184,"NARCOTICS, OTHER",NARCOTICS COMPLAINTS,NARCOTICS COMPLAINTS,03/03/2016 03:36:34 AM,6XX BLOCK OF 5 AV,K,K1,8500.1024,-122.32951,47.604053,"(47.604053, -122.32951)","NARCOTICS - VIOLATIONS (LOITER, USE, SELL, NARS)",NARCOTICS COMPLAINTS,NARCOTICS COMPLAINTS,03/02/2016 05:48:20 PM
1685688,16000075648,201675648,161,TRESPASS,TRESPASS,TRESPASS,03/03/2016 03:10:25 AM,4XX BLOCK OF LENORA ST,M,M2,7200.1066,-122.340904,47.614162,"(47.614162, -122.340904)",FIGHT - IP - PHYSICAL (NO WEAPONS),DISTURBANCES,DISTURBANCES,03/02/2016 10:41:32 PM
1685682,16000075686,201675686,040,"ASSAULTS, OTHER",ASSAULTS,ASSAULTS,03/03/2016 02:32:25 AM,61XX BLOCK OF 4 AV S,O,O3,10900.2071,-122.32959,47.546696,"(47.546696, -122.32959)",ASLT - IP/JO - WITH OR W/O WPNS (NO SHOOTINGS),ASSAULTS,ASSAULTS,03/02/2016 11:35:26 PM
1685669,16000075556,201675556,450,DRIVING WHILE UNDER INFLUENCE (DUI),TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,03/03/2016 02:07:05 AM,N 105 ST / DAYTON AV N,J,J1,1701.3002,-122.35277,47.705074,"(47.705074, -122.35277)","MOTOR VEHICLE COLLISION, REPORT ONLY - NON INJURY/NON BLOCKING",MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,03/02/2016 08:53:14 PM
1686071,16000075675,201675675,040,"ASSAULTS, OTHER",ASSAULTS,ASSAULTS,03/03/2016 01:53:21 AM,53XX BLOCK OF TALLMAN AV NW,B,B1,4700.4020,-122.38089,47.667965,"(47.667965, -122.38089)",ASLT - IP/JO - WITH OR W/O WPNS (NO SHOOTINGS),ASSAULTS,ASSAULTS,03/02/2016 11:25:06 PM
1685661,16000075640,201675640,050,"BURGLARY - RESIDENTIAL, UNOCCUPIED",RESIDENTIAL BURGLARIES,BURGLARY,03/03/2016 01:25:30 AM,18XX BLOCK OF NE 96 ST,L,L2,2000.1004,-122.30757,47.698917,"(47.698917, -122.30757)",BURG - RES (INCL UNOCC STRUCTURES ON PROP),BURGLARY,RESIDENTIAL BURGLARIES,03/02/2016 11:02:14 PM
1685653,16000075653,201675653,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,03/03/2016 01:11:04 AM,125XX BLOCK OF 35 AV NE,L,L3,100.3003,-122.290794,47.720947,"(47.720947, -122.290794)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,03/02/2016 10:57:32 PM
1685648,16000075641,201675641,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/03/2016 12:55:34 AM,3XX BLOCK OF N 125 ST,N,N1,402.1014,-122.35487,47.7196,"(47.7196, -122.35487)",CRISIS - PERSON IN BEHAVIORAL/EMOTIONAL CRISIS,BEHAVIORAL HEALTH,CRISIS CALL,03/02/2016 11:36:34 PM
